Vessel	branches from
ID	SC 'connected to' some %
VCCF:1000568	VCCF:1000567
VCCF:1000569	VCCF:1000567
VCCF:1000570	VCCF:1000567
VCCF:1000571	VCCF:1000559
VCCF:1000572	VCCF:1000559
VCCF:1000573	VCCF:1000572
VCCF:1000574	VCCF:1000559
VCCF:1000575	VCCF:1000559
VCCF:1000576	VCCF:1000473
VCCF:1000577	VCCF:1000576
VCCF:1000578	VCCF:1000577
VCCF:1000389	VCCF:1000578
VCCF:1000579	VCCF:1000389
VCCF:1000580	VCCF:1000389
VCCF:1000581	VCCF:1000389
VCCF:1000582	VCCF:1000389
VCCF:1000583	VCCF:1000389
VCCF:1000584	VCCF:1000577
VCCF:1000585	VCCF:1000577
VCCF:1000586	VCCF:1000577
VCCF:1000587	VCCF:1000576
VCCF:1000588	VCCF:1000576
VCCF:1000589	VCCF:1000588
VCCF:1000590	VCCF:1000588
VCCF:1000591	VCCF:1000473
VCCF:1000592	VCCF:1000591
VCCF:1000593	VCCF:1000592
VCCF:1000594	VCCF:1000591
VCCF:1000595	VCCF:1000594
VCCF:1000596	VCCF:1000595
VCCF:1000597	VCCF:1000596
VCCF:1000598	VCCF:1000596
VCCF:1000599	VCCF:1000598
VCCF:1000600	VCCF:1000598
VCCF:1000601	VCCF:1000598
VCCF:1000602	VCCF:1000598
VCCF:1000603	VCCF:1000594
VCCF:1000604	VCCF:1000594
VCCF:1000605	VCCF:1000594
VCCF:1000606	VCCF:1000605
VCCF:1000607	VCCF:1000605
VCCF:1000608	VCCF:1000605
VCCF:1000609	VCCF:1000605
VCCF:1000610	VCCF:1000605
VCCF:1000611	VCCF:1000605
VCCF:1000612	VCCF:1000605
VCCF:1000613	VCCF:1000594
VCCF:1000614	VCCF:1000591
VCCF:1000615	VCCF:1000591
VCCF:1000389	VCCF:1000591
VCCF:1000616	VCCF:1000011
VCCF:1000617	VCCF:1000616
VCCF:1000618	VCCF:1000617
VCCF:1000619	VCCF:1000617
